lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER
1e-08,0,,,,,,,
,49,212.30804443359375,0,,,,,
,99,231.2191619873047,0,,,,,
,149,145.4842529296875,0,,,,,
,199,130.73587036132812,0,,,,,
,249,142.93356323242188,0,,,,,
,299,128.4447021484375,0,,,,,
,349,137.84129333496094,0,,,,,
,399,148.67068481445312,0,,,,,
,449,151.03150939941406,0,,,,,
,499,133.66387939453125,0,,,,,
,549,132.23377990722656,0,,,,,
,599,212.62893676757812,0,,,,,
,649,156.24862670898438,0,,,,,
,699,272.8243713378906,0,,,,,
,743,,0,170.32672119140625,2508.658935546875,0.02079780399799347,2444.4990234375,64.1390380859375
