,val_greedy_paper,val_greedy_ours,test_greedy_paper,test_greedy_ours,val_6_gram_paper,val_6_gram_ours,test_6_gram_paper,test_6_gram_ours
generic,55.57,52.65624284744263,55.38,52.26835632324219,52.1,47.559669971466064,51.78,47.049964904785156
personalized_random_init,15.65,18.583681106567383,15.38,17.035794019699097,11.03,12.045632243156433,9.55,9.125092297792435
personalized_finetuned,11.39,13.229574084281921,11.28,13.04659366607666,8.31,8.955916464328766,6.95,7.674818903207779
