lr-Adam,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER,test/loss,test/CER,test/IER,test/DER,test/SER
1e-08,0,,,,,,,,,,,,,,,,
,49,212.30804443359375,0,,,,,,,,,,,,,,
,99,231.2191619873047,0,,,,,,,,,,,,,,
,149,145.4842529296875,0,,,,,,,,,,,,,,
,199,130.73587036132812,0,,,,,,,,,,,,,,
,249,142.93356323242188,0,,,,,,,,,,,,,,
,299,128.4447021484375,0,,,,,,,,,,,,,,
,349,137.84129333496094,0,,,,,,,,,,,,,,
,399,148.67068481445312,0,,,,,,,,,,,,,,
,449,151.03150939941406,0,,,,,,,,,,,,,,
,499,133.66387939453125,0,,,,,,,,,,,,,,
,549,132.23377990722656,0,,,,,,,,,,,,,,
,599,212.62893676757812,0,,,,,,,,,,,,,,
,649,156.24862670898438,0,,,,,,,,,,,,,,
,699,272.8243713378906,0,,,,,,,,,,,,,,
,743,,0,170.32672119140625,2508.658935546875,0.02079780399799347,2444.4990234375,64.1390380859375,,,,,,,,,
,743,,0,,,,,,2493.30224609375,0.021571431308984756,2428.641357421875,64.63927459716797,,,,,
0.00011112,744,,,,,,,,,,,,,,,,
,749,163.77247619628906,1,,,,,,,,,,,,,,
,799,5.111602306365967,1,,,,,,,,,,,,,,
,849,4.0184831619262695,1,,,,,,,,,,,,,,
,899,4.237006187438965,1,,,,,,,,,,,,,,
,949,3.8655474185943604,1,,,,,,,,,,,,,,
,999,3.7024970054626465,1,,,,,,,,,,,,,,
,1049,3.5148632526397705,1,,,,,,,,,,,,,,
,1099,3.7114837169647217,1,,,,,,,,,,,,,,
,1149,3.5247044563293457,1,,,,,,,,,,,,,,
,1199,3.4603688716888428,1,,,,,,,,,,,,,,
,1249,3.63499116897583,1,,,,,,,,,,,,,,
,1299,3.6619644165039062,1,,,,,,,,,,,,,,
,1349,3.6787567138671875,1,,,,,,,,,,,,,,
,1399,3.470970630645752,1,,,,,,,,,,,,,,
,1449,3.38217830657959,1,,,,,,,,,,,,,,
,1487,,1,3.4894750118255615,100.0,100.0,0.0,0.0,,,,,,,,,
,1487,,1,,,,,,116.95374298095703,97.95159912109375,17.439434051513672,1.5627113580703735,,,,,
0.00022223000000000002,1488,,,,,,,,,,,,,,,,
,1499,3.4836342334747314,2,,,,,,,,,,,,,,
,1549,3.5426828861236572,2,,,,,,,,,,,,,,
,1599,3.6224653720855713,2,,,,,,,,,,,,,,
,1649,3.3427977561950684,2,,,,,,,,,,,,,,
,1699,3.3937416076660156,2,,,,,,,,,,,,,,
,1749,3.5679922103881836,2,,,,,,,,,,,,,,
,1799,3.3576996326446533,2,,,,,,,,,,,,,,
,1849,3.360983371734619,2,,,,,,,,,,,,,,
,1899,3.563396453857422,2,,,,,,,,,,,,,,
,1949,3.4279606342315674,2,,,,,,,,,,,,,,
,1999,3.3891448974609375,2,,,,,,,,,,,,,,
,2049,3.3099331855773926,2,,,,,,,,,,,,,,
,2099,3.5569655895233154,2,,,,,,,,,,,,,,
,2149,3.35284423828125,2,,,,,,,,,,,,,,
,2199,3.3775744438171387,2,,,,,,,,,,,,,,
,2231,,2,3.3919830322265625,100.0,100.0,0.0,0.0,,,,,,,,,
,2231,,2,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00033334,2232,,,,,,,,,,,,,,,,
,2249,3.3554883003234863,3,,,,,,,,,,,,,,
,2299,3.3189361095428467,3,,,,,,,,,,,,,,
,2349,3.324282169342041,3,,,,,,,,,,,,,,
,2399,3.354170799255371,3,,,,,,,,,,,,,,
,2449,3.3083081245422363,3,,,,,,,,,,,,,,
,2499,3.353858709335327,3,,,,,,,,,,,,,,
,2549,3.361325979232788,3,,,,,,,,,,,,,,
,2599,3.343041181564331,3,,,,,,,,,,,,,,
,2649,3.4423041343688965,3,,,,,,,,,,,,,,
,2699,3.558009624481201,3,,,,,,,,,,,,,,
,2749,3.46161150932312,3,,,,,,,,,,,,,,
,2799,3.3588504791259766,3,,,,,,,,,,,,,,
,2849,3.304624319076538,3,,,,,,,,,,,,,,
,2899,3.3313376903533936,3,,,,,,,,,,,,,,
,2949,3.3006091117858887,3,,,,,,,,,,,,,,
,2975,,3,3.378257989883423,100.0,100.0,0.0,0.0,,,,,,,,,
,2975,,3,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00044445,2976,,,,,,,,,,,,,,,,
,2999,3.426065444946289,4,,,,,,,,,,,,,,
,3049,3.393355131149292,4,,,,,,,,,,,,,,
,3099,3.3817644119262695,4,,,,,,,,,,,,,,
,3149,3.418381690979004,4,,,,,,,,,,,,,,
,3199,3.319807529449463,4,,,,,,,,,,,,,,
,3249,3.3030080795288086,4,,,,,,,,,,,,,,
,3299,3.3909759521484375,4,,,,,,,,,,,,,,
,3349,3.2422866821289062,4,,,,,,,,,,,,,,
,3399,3.3435091972351074,4,,,,,,,,,,,,,,
,3449,3.3140180110931396,4,,,,,,,,,,,,,,
,3499,3.267085075378418,4,,,,,,,,,,,,,,
,3549,3.315168619155884,4,,,,,,,,,,,,,,
,3599,3.3492045402526855,4,,,,,,,,,,,,,,
,3649,3.319502830505371,4,,,,,,,,,,,,,,
,3699,3.2914316654205322,4,,,,,,,,,,,,,,
,3719,,4,3.2754621505737305,100.0,100.0,0.0,0.0,,,,,,,,,
,3719,,4,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00055556,3720,,,,,,,,,,,,,,,,
,3749,3.2333450317382812,5,,,,,,,,,,,,,,
,3799,3.5500545501708984,5,,,,,,,,,,,,,,
,3849,3.0322554111480713,5,,,,,,,,,,,,,,
,3899,3.414832353591919,5,,,,,,,,,,,,,,
,3949,3.239692211151123,5,,,,,,,,,,,,,,
,3999,3.288055419921875,5,,,,,,,,,,,,,,
,4049,3.3673441410064697,5,,,,,,,,,,,,,,
,4099,3.2076988220214844,5,,,,,,,,,,,,,,
,4149,3.264364004135132,5,,,,,,,,,,,,,,
,4199,3.272831439971924,5,,,,,,,,,,,,,,
,4249,3.4050800800323486,5,,,,,,,,,,,,,,
,4299,3.0508065223693848,5,,,,,,,,,,,,,,
,4349,3.272568464279175,5,,,,,,,,,,,,,,
,4399,3.2005057334899902,5,,,,,,,,,,,,,,
,4449,3.364698886871338,5,,,,,,,,,,,,,,
,4463,,5,3.1406900882720947,100.0,100.0,0.0,0.0,,,,,,,,,
,4463,,5,,,,,,100.0,100.0,0.0,0.0,,,,,
0.00066667,4464,,,,,,,,,,,,,,,,
,4499,3.4575982093811035,6,,,,,,,,,,,,,,
,4549,3.3195886611938477,6,,,,,,,,,,,,,,
,4599,2.975817918777466,6,,,,,,,,,,,,,,
,4649,3.24263596534729,6,,,,,,,,,,,,,,
,4699,3.7236328125,6,,,,,,,,,,,,,,
,4749,3.086181640625,6,,,,,,,,,,,,,,
,4799,3.2135565280914307,6,,,,,,,,,,,,,,
,4849,3.1820359230041504,6,,,,,,,,,,,,,,
,4899,3.2536373138427734,6,,,,,,,,,,,,,,
,4949,3.3033080101013184,6,,,,,,,,,,,,,,
,4999,3.2007837295532227,6,,,,,,,,,,,,,,
